I/D,Date,Open,High,Low,Close,Adj Close,Volume
D,3/13/20,119,121.514,100.400002,109.323997,109.323997,113201500
D,3/16/20,93.900002,98.973999,88.433998,89.014,89.014,102447500
D,3/17/20,88.001999,94.370003,79.199997,86.040001,86.040001,119973000
D,3/18/20,77.800003,80.972,70.101997,72.244003,72.244003,118931000
I,3/19/20,74.940002,90.400002,71.692001,85.528,85.528,150977500
D,3/20/20,87.639999,95.400002,85.157997,85.505997,85.505997,141427500
I,3/23/20,86.720001,88.400002,82.099998,86.858002,86.858002,82272500
I,3/24/20,95.459999,102.737999,94.800003,101,101,114476000
D,3/25/20,109.050003,111.400002,102.222,107.849998,107.849998,106113500
D,3/26/20,109.477997,112,102.449997,105.632004,105.632004,86903500
I,3/27/20,101,105.160004,98.806,102.872002,102.872002,71887000
D,3/30/20,102.052002,103.330002,98.246002,100.426003,100.426003,59990500
I,3/31/20,100.25,108.592003,99.400002,104.800003,104.800003,88857500
D,4/1/20,100.800003,102.790001,95.019997,96.311996,96.311996,66766000
D,4/2/20,96.206001,98.851997,89.279999,90.893997,90.893997,99292000
D,4/3/20,101.900002,103.098,93.678001,96.001999,96.001999,112810500
I,4/6/20,102.239998,104.199997,99.592003,103.248001,103.248001,74509000
I,4/7/20,109,113,106.468002,109.089996,109.089996,89599000
D,4/8/20,110.839996,111.442001,106.666,109.767998,109.767998,63280000
I,4/9/20,112.417999,115.036003,111.421997,114.599998,114.599998,68250000
I,4/13/20,118.031998,130.399994,116.106003,130.190002,130.190002,112377000
I,4/14/20,139.794006,148.376007,138.485992,141.977997,141.977997,152882500
D,4/15/20,148.399994,150.626007,142,145.966003,145.966003,117885000
I,4/16/20,143.388,151.889999,141.343994,149.042007,149.042007,103289500
D,4/17/20,154.455994,154.990005,149.531998,150.778,150.778,65641000
I,4/20/20,146.539993,153.113998,142.442001,149.272003,149.272003,73733000
D,4/21/20,146.024002,150.666,134.757996,137.343994,137.343994,101045500
I,4/22/20,140.796005,146.800003,137.742004,146.421997,146.421997,70827500
D,4/23/20,145.520004,146.800003,140.626007,141.126007,141.126007,66183500
I,4/24/20,142.162003,146.145996,139.636002,145.029999,145.029999,66060000
I,4/27/20,147.522003,159.897995,147,159.75,159.75,103407000
D,4/28/20,159.128006,161,151.337997,153.824005,153.824005,76110000
I,4/29/20,158.033997,160.639999,156.632004,160.102005,160.102005,81080000
D,4/30/20,171.037994,173.964005,152.699997,156.376007,156.376007,142359500
D,5/1/20,151,154.554001,136.608002,140.264008,140.264008,162659000
I,5/4/20,140.199997,152.399994,139.600006,152.238007,152.238007,96185500
D,5/5/20,157.957993,159.783997,152.436005,153.641998,153.641998,84958500
I,5/6/20,155.300003,157.960007,152.222,156.516006,156.516006,55616000
I,5/7/20,155.442001,159.279999,154.470001,156.007996,156.007996,57638500
I,5/8/20,158.753998,164.800003,157.401993,163.884003,163.884003,80432500
I,5/11/20,158.102005,164.800003,157,162.257996,162.257996,82598000
D,5/12/20,165.399994,168.658005,161.600006,161.882004,161.882004,79534500
D,5/13/20,164.166,165.199997,152.660004,158.192001,158.192001,95327500
I,5/14/20,156,160.671997,152.800003,160.666,160.666,68411000
I,5/15/20,158.070007,161.009995,157.309998,159.834,159.834,52592000
D,5/18/20,165.556,166.944,160.776001,162.725998,162.725998,58329000
D,5/19/20,163.033997,164.414001,161.216003,161.602005,161.602005,48182500
D,5/20/20,164.100006,165.199997,162.360001,163.112,163.112,36546500
I,5/21/20,163.199997,166.5,159.199997,165.520004,165.520004,61273000
D,5/22/20,164.434006,166.356003,162.399994,163.376007,163.376007,49937500
D,5/26/20,166.899994,166.919998,163.141998,163.774002,163.774002,40448500
D,5/27/20,164.171997,165.542007,157,164.046005,164.046005,57747500
D,5/28/20,162.701996,164.949997,160.337997,161.162003,161.162003,36278000
I,5/29/20,161.75,167,160.841995,167,167,58822500
I,6/1/20,171.600006,179.800003,170.820007,179.619995,179.619995,74697500
D,6/2/20,178.940002,181.731995,174.199997,176.311996,176.311996,67828000
D,6/3/20,177.623993,179.587997,176.020004,176.591995,176.591995,39747500
D,6/4/20,177.975998,179.149994,171.688004,172.876007,172.876007,44438500
I,6/5/20,175.567993,177.304001,173.240005,177.132004,177.132004,39059500
I,6/8/20,183.800003,190,181.832001,189.983994,189.983994,70873500
I,6/9/20,188.001999,190.888,184.785995,188.134003,188.134003,56941000
I,6/10/20,198.376007,205.496002,196.5,205.009995,205.009995,92817000
D,6/11/20,198.039993,203.792007,194.399994,194.567993,194.567993,79582500
D,6/12/20,196,197.595993,182.520004,187.056,187.056,83817000
I,6/15/20,183.557999,199.768005,181.699997,198.179993,198.179993,78486000
D,6/16/20,202.369995,202.576004,192.477997,196.425995,196.425995,70255500
I,6/17/20,197.542007,201,196.514008,198.358002,198.358002,49454000
I,6/18/20,200.600006,203.839996,198.893997,200.792007,200.792007,48759500
D,6/19/20,202.556,203.194,198.268005,200.179993,200.179993,43398500
D,6/22/20,199.990005,201.776001,198.003998,198.863998,198.863998,31812000
I,6/23/20,199.776001,202.399994,198.802002,200.356003,200.356003,31826500
D,6/24/20,198.822006,200.175995,190.628006,192.169998,192.169998,54798000
I,6/25/20,190.854004,197.195999,187.429993,197.195999,197.195999,46272500
D,6/26/20,198.955994,199,190.973999,191.947998,191.947998,44274500
I,6/29/20,193.802002,202,189.703995,201.869995,201.869995,45132000
I,6/30/20,201.300003,217.537994,200.746002,215.962006,215.962006,84592500
I,7/1/20,216.600006,227.065994,216.100006,223.925995,223.925995,66634500
D,7/2/20,244.296005,245.600006,237.119995,241.731995,241.731995,86250500
I,7/6/20,255.337997,275.558014,253.207993,274.31601,274.31601,102849500
D,7/7/20,281.002014,285.899994,267.34201,277.971985,277.971985,107448500
D,7/8/20,281,283.451996,262.268005,273.175995,273.175995,81556500
D,7/9/20,279.39801,281.712006,270.256012,278.855988,278.855988,58588000
I,7/10/20,279.200012,309.783997,275.201996,308.929993,308.929993,116688000
D,7/13/20,331.799988,358.997986,294.221985,299.411987,299.411987,194927000
D,7/14/20,311.200012,318,286.200012,303.359985,303.359985,117090500
I,7/15/20,308.600006,310,291.399994,309.201996,309.201996,81839000
I,7/16/20,295.432007,306.34201,293.200012,300.127991,300.127991,71504000
D,7/17/20,302.690002,307.502014,298,300.167999,300.167999,46650000
I,7/20/20,303.802002,330,297.600006,328.600006,328.600006,85607000
D,7/21/20,327.985992,335,311.600006,313.671997,313.671997,80536000
D,7/22/20,319.799988,325.283997,312.399994,318.466003,318.466003,70805500
D,7/23/20,335.790009,337.799988,296.153992,302.614014,302.614014,121642500
I,7/24/20,283.201996,293,273.308014,283.399994,283.399994,96983000
I,7/27/20,287,309.588013,282.600006,307.920013,307.920013,80243500
D,7/28/20,300.799988,312.940002,294.884003,295.298004,295.298004,79043500
D,7/29/20,300.200012,306.962006,297.399994,299.821991,299.821991,47134500
D,7/30/20,297.600006,302.64801,294.200012,297.497986,297.497986,38105000
D,7/31/20,303,303.410004,284.196014,286.152008,286.152008,61041000
I,8/3/20,289.839996,301.962006,288.876007,297,297,44046500
D,8/4/20,299.002014,305.481995,292.399994,297.399994,297.399994,42075000
D,8/5/20,298.597992,299.967987,293.661987,297.003998,297.003998,24739000
D,8/6/20,298.165985,303.462006,295.451996,297.915985,297.915985,29961500
D,8/7/20,299.90799,299.950012,283.002014,290.541992,290.541992,44482000
D,8/10/20,289.600006,291.5,277.167999,283.713989,283.713989,37611500
D,8/11/20,279.200012,284,273,274.877991,274.877991,43129000
I,8/12/20,294,317,287,310.951996,310.951996,109147000
I,8/13/20,322.200012,330.235992,313.451996,324.200012,324.200012,102126500
D,8/14/20,332.997986,333.76001,325.328003,330.141998,330.141998,62888000
I,8/17/20,335.399994,369.171997,334.56601,367.127991,367.127991,101211500
D,8/18/20,379.798004,384.779999,369.022003,377.417999,377.417999,82372500
I,8/19/20,373,382.200012,368.242004,375.705994,375.705994,61026500
I,8/20/20,372.135986,404.39801,371.411987,400.365997,400.365997,103059000
I,8/21/20,408.951996,419.097992,405.01001,409.996002,409.996002,107448000
D,8/24/20,425.256012,425.799988,385.503998,402.839996,402.839996,100318000
I,8/25/20,394.977997,405.589996,393.600006,404.667999,404.667999,53294500
I,8/26/20,412,433.200012,410.726013,430.634003,430.634003,71197000
I,8/27/20,436.09201,459.119995,428.5,447.75,447.75,118465000
D,8/28/20,459.023987,463.697998,437.303986,442.679993,442.679993,100406000
I,8/31/20,444.609985,500.140015,440.109985,498.320007,498.320007,118374400
D,9/1/20,502.140015,502.48999,470.51001,475.049988,475.049988,89841100
D,9/2/20,478.98999,479.040009,405.119995,447.369995,447.369995,96176100
D,9/3/20,407.230011,431.799988,402,407,407,87596100
I,9/4/20,402.809998,428,372.019989,418.320007,418.320007,110321900
D,9/8/20,356,368.73999,329.880005,330.209991,330.209991,115465700
I,9/9/20,356.600006,369,341.51001,366.279999,366.279999,79465800
D,9/10/20,386.209991,398.98999,360.559998,371.339996,371.339996,84930600
D,9/11/20,381.940002,382.5,360.5,372.720001,372.720001,60717500
I,9/14/20,380.950012,420,373.299988,419.619995,419.619995,83020600
I,9/15/20,436.559998,461.940002,430.700012,449.76001,449.76001,97298200
I,9/16/20,439.869995,457.790009,435.309998,441.76001,441.76001,72279300
I,9/17/20,415.600006,437.790009,408,423.429993,423.429993,76779200
